ID	Term	Type	Preferred_form
COND001	aerobic	GC	aerobic
COND002	aerobiosis	GC	aerobiosis
COND003	alkylating	GC	alkylating
COND004	amino acid	GC	amino acid
COND005	ammonia	GC	ammonia
COND006	ampicillin	GC	ampicillin
COND007	anaerobic	GC	anaerobic
COND008	anaerobiosis	GC	anaerobiosis
COND009	antibiotic	GC	antibiotic
COND010	arsenite	GC	arsenite
COND011	aspartate	GC	aspartate
COND012	carbon	GC	carbon
COND013	chloramphenicol	GC	chloramphenicol
COND014	cold	GC	cold
COND015	exponential	GC	exponential
COND016	ferric	GC	ferric
COND017	fumarate	GC	fumarate
COND018	glucitol	GC	glucitol
COND019	glucose	GC	glucose
COND020	glycerol	GC	glycerol
COND021	glycine	GC	glycine
COND022	glycolate	GC	glycolate
COND023	heat	GC	heat
COND024	high cell density	GC	high cell density
COND025	homocysteine	GC	homocysteine
COND026	hydrogen	GC	hydrogen
COND027	hydrostatic pressure	GC	hydrostatic pressure
COND028	hyperosmotic	GC	hyperosmotic
COND029	hypoosmotic	GC	hypoosmotic
COND030	inosine	GC	inosine
COND031	iron	GC	iron
COND032	isoosmotic	GC	isoosmotic
COND033	late exponential growth phase	GC	late exponential growth phase
COND034	L-cysteine	GC	L-cysteine
COND035	L-djenkolate	GC	L-djenkolate
COND036	malate	GC	malate
COND037	maltose	GC	maltose
COND038	metal	GC	metal
COND039	microaerobiosis	GC	microaerobiosis
COND040	minimal medium	GC	minimal medium
COND041	motility	GC	motility
COND042	nalidixic	GC	nalidixic
COND043	nitrate	GC	nitrate
COND044	nitric	GC	nitric
COND045	nitrogen	GC	nitrogen
COND046	norfloxacin	GC	norfloxacin
COND047	nucleotides	GC	nucleotides
COND048	oligoelements	GC	oligoelements
COND049	osmotic	GC	osmotic
COND050	oxidative stress	GC	oxidative stress
COND051	paraquat	GC	paraquat
COND052	phenylalanine	GC	phenylalanine
COND053	pH	GC	pH
COND054	phosphate	GC	phosphate
COND055	proline	GC	proline
COND056	rich medium	GC	rich medium
COND057	salicylate	GC	salicylate
COND058	shock	GC	shock
COND059	S-nitrosoglutathione	GC	S-nitrosoglutathione
COND060	sodium	GC	sodium
COND061	starvation	GC	starvation
COND062	stationary	GC	stationary
COND063	stress	GC	stress
COND064	stringent	GC	stringent
COND065	succinate	GC	succinate
COND066	tartrate	GC	tartrate
COND067	temperature	GC	temperature
COND068	tetracycline	GC	tetracycline
COND069	thymine	GC	thymine
COND070	tryptophan	GC	tryptophan
COND071	tyrosine	GC	tyrosine
COND072	vitamin	GC	vitamin
COND073	2-DG	COLOMBOS	2-DG
COND074	5-fluorouracil	COLOMBOS	5-fluorouracil
COND075	7 hydroxy indole	COLOMBOS	7 hydroxy indole
COND076	acetate	COLOMBOS	acetate
